Stock,Date
케이피에프,2006-01-09
케이피에프,2020-07-13
뉴프렉스,2009-11-17
인팩,2005-04-08
흥아해운,2002-04-12
에스제이켐,2023-08-11
에스제이켐,2023-08-31
에스제이켐,2024-01-18
에스제이켐,2024-03-04
삼화네트웍스,2019-11-04
동진쎄미켐,2002-01-02
동진쎄미켐,2019-09-04
동진쎄미켐,2020-09-15
강원에너지,2011-12-16
글로본,2007-05-18
글로본,2015-08-06
CMG제약,2005-05-26
CMG제약,2018-03-12
CMG제약,2020-02-07
성안머티리얼스,2023-03-17
플리토,2022-02-25
미래컴퍼니,2011-03-22
지어소프트,2010-02-23
지어소프트,2012-01-26
지어소프트,2019-06-14
에스엔유,2010-12-01
백광산업,2001-04-30
백광산업,2018-01-16
이글루,2014-05-28
삼성공조,2009-07-21
한신공영,2008-01-07
지앤이헬스케어,2020-08-11
한국석유공업,2023-04-05
제주반도체,2015-08-04
우신시스템,2010-05-24
제일바이오,2005-07-28
제일바이오,2009-03-26
인탑스,2015-03-03
케이씨에스,2011-08-26
케이프,2015-05-06
한솔홀딩스,2003-01-14
대창,2006-06-26
대창,2010-11-16
대창,2024-04-02
대한전선,2013-07-11
에스앤더블류,2010-03-09
에스앤더블류,2018-09-17
에스앤더블류,2020-12-24
동일철강,2000-08-24
다우데이타,2009-10-06
중앙에너비스,2009-03-10
중앙에너비스,2011-06-24
오상자이엘,2009-06-24
오상자이엘,2021-08-17
위메이드맥스,2012-11-26
위메이드맥스,2015-01-23
위메이드맥스,2023-04-07
글로벌에스엠,2015-01-28
신원종합개발,2005-09-23
신원종합개발,2012-04-23
나우코스,2022-07-21
나우코스,2023-06-16
대화제약,2022-09-15
대화제약,2024-04-23
에이텍,2005-09-08
에이텍,2020-06-25
삼천당제약,2009-02-02
파워로직스,2012-08-21
한미반도체,2006-01-13
한미반도체,2012-08-21
하이비젼시스템,2014-04-04
제이스텍,2023-01-10
지니언스,2020-09-17
제노텍,2019-11-04
신시웨이,2024-02-13
엔솔바이오사이언스,2023-04-11
에스유홀딩스,2017-07-20
에스유홀딩스,2022-09-20
한국제지,2005-05-25
한국제지,2017-03-02
아이에이치큐,2000-10-12
아이에이치큐,2009-07-01
스마트솔루션즈,2016-06-01
스마트솔루션즈,2019-07-25
안지오랩,2017-11-07
일신석재,2000-11-21
일신석재,2011-12-27
한솔피엔에스,2005-08-24
한솔피엔에스,2010-06-21
금양,2007-07-25
삼일기업공사,2002-05-23
삼일기업공사,2021-08-17
삼일씨엔에스,2020-11-23
DB,2002-05-24
DB,2023-06-05
에쓰씨엔지니어링,2000-08-17
에쓰씨엔지니어링,2014-07-02
블레이드 Ent,2005-04-01
블레이드 Ent,2012-01-06
파루,2009-07-22
파루,2015-07-21
파루,2020-10-28
콤텍시스템,2014-03-26
일성건설,2007-11-29
일성건설,2012-04-06
국보디자인,2003-07-28
국보디자인,2006-01-20
국보디자인,2012-03-29
STX중공업,2020-01-03
STX중공업,2021-06-28
진바이오텍,2009-01-30
진바이오텍,2016-03-04
아이에스동서,2001-05-03
아이에스동서,2019-04-05
엠젠솔루션,2004-10-19
엠젠솔루션,2015-11-04
엠젠솔루션,2018-01-11
코콤,2009-09-16
KH 전자,2016-05-31
켐트로스,2017-09-06
나노캠텍,2018-06-26
체시스,2020-07-01
체시스,2022-05-30
씨앗,2017-07-31
씨앗,2019-11-04
스틱인베스트먼트,2008-04-23
스틱인베스트먼트,2012-11-26
코나아이,2021-08-06
갤럭시아머니트리,2009-03-09
갤럭시아머니트리,2009-03-20
삼천리자전거,2009-01-07
삼천리자전거,2015-07-13
DL,2004-01-30
DL,2022-08-03
젬백스,2015-05-14
알에프세미,2008-03-24
알에프세미,2012-11-06
알에프세미,2020-11-23
원풍물산,2006-04-07
모토닉,2000-08-22
