Stock,Buy Date,Buy Price,Sell Price,Return Rate
한국테크놀로지,2018-01-10,2527,2303,-8.86426592797784
현대코퍼레이션,2003-06-19,27049,25800,-4.617545935154719
티엘아이,2011-12-08,6930,6200,-10.533910533910534
테크트랜스,2018-12-04,5100,5000,-1.9607843137254901
케이씨티시,2001-10-15,440,427,-2.9545454545454546
케이씨티시,2005-11-16,1587,1474,-7.120352867044738
깨끗한나라,2005-09-08,4913,6142,25.01526562181966
동양철관,2008-02-13,1853,1708,-7.825148407987048
동양철관,2010-04-29,1258,1244,-1.1128775834658187
엑사이엔씨,2009-10-14,9228,8965,-2.850021673168617
엑사이엔씨,2023-01-11,1455,1480,1.718213058419244
조아제약,2004-10-21,1011,925,-8.506429277942631
조아제약,2010-10-04,3460,3430,-0.8670520231213872
한진,2014-08-18,34377,34139,-0.6923233557320301
국일신동,2018-11-07,4470,3990,-10.738255033557047
카스,2001-08-02,2958,2609,-11.798512508451656
카스,2005-09-02,1323,1925,45.5026455026455
카스,2019-03-27,2060,1885,-8.495145631067961
상상인,2010-04-26,1576,1463,-7.1700507614213205
싸이토젠,2024-01-31,14210,14070,-0.9852216748768473
진양산업,2021-07-28,6410,5650,-11.856474258970358
지니뮤직,2004-03-29,4235,6780,60.09445100354191
지니뮤직,2004-04-28,5260,6780,28.89733840304182
동아쏘시오홀딩스,2000-08-18,12454,12181,-2.1920668058455117
동아쏘시오홀딩스,2005-08-18,30385,30485,0.3291097581043278
한화투자증권,2018-03-16,3220,3130,-2.7950310559006213
부방,2009-03-23,441,411,-6.802721088435375
부방,2009-08-04,511,491,-3.9138943248532287
부방,2015-06-24,7239,6240,-13.800248653128886
YG PLUS,2007-08-24,3095,2840,-8.239095315024231
신도기연,2023-01-16,6270,6060,-3.349282296650718
새로닉스,2005-03-10,1570,1480,-5.7324840764331215
새로닉스,2017-11-06,6750,7100,5.185185185185185
더라미,2001-03-30,50449588,49469092,-1.9435163672694413
남해화학,2010-09-30,17900,17900,0.0
남해화학,2013-07-04,8130,7570,-6.888068880688807
알에프텍,2004-11-16,3146,3146,0.0
알에프텍,2007-05-29,2436,2419,-0.6978653530377669
알에프텍,2010-03-09,4549,4087,-10.156078258958011
알에프텍,2014-12-30,4658,5729,22.99270072992701
프레스티지바이오파마,2023-01-18,8330,8250,-0.9603841536614646
스카이문스테크놀로지,2007-02-21,6750,6690,-0.8888888888888888
스카이문스테크놀로지,2011-09-05,2520,2300,-8.73015873015873
에이펙스인텍,2019-07-26,13500,11250,-16.666666666666664
에이펙스인텍,2021-02-05,11000,8860,-19.454545454545453
에이펙스인텍,2022-12-02,8990,7650,-14.905450500556173
신성델타테크,2021-09-03,18100,15250,-15.745856353591158
큐러블,2014-07-14,3800,3600,-5.263157894736842
큐러블,2020-04-08,2695,3075,14.100185528756956
큐러블,2022-09-21,9520,8850,-7.03781512605042
큐러블,2023-04-21,8420,7100,-15.676959619952493
서호전기,2019-06-11,22800,22200,-2.631578947368421
EMB,2021-04-26,6320,5800,-8.227848101265822
넥슨게임즈,2020-06-24,8010,7880,-1.6229712858926344
코스모신소재,2013-04-25,4008,3993,-0.37425149700598803
코스모신소재,2022-10-20,62727,60949,-2.8345050775583083
HB테크놀러지,2006-11-28,4190,3850,-8.1145584725537
